run_id,run_name,group,seed,steps_logged,final_step,rollout/p,info/H_p_bits,info/I_cumulative_bits,entropy/action_avg,entropy/seq_cumulative,train/success_rate,val/success_rate,reward_info/H_correct_bits,reward_info/H_spec_bits,reward_info/H_combined_bits,reward_info/H_sum_components_bits,noise/c,noise/std,loss/value,selfplay/shared_params,val/success_rate_mean,val/success_rate_std,train/success_rate_mean,train/success_rate_std,checkpoint_step,offline_train/position_policy_acc,offline_train/position_top3_acc,offline_train/position_value_mse,offline_train/position_policy_nll,offline_train/position_count,offline_val/position_policy_acc,offline_val/position_top3_acc,offline_val/position_value_mse,offline_val/position_policy_nll,offline_val/position_count,reward_info/H_redundancy_bits,offline_gap/position_policy_acc,offline_gap/position_top3_acc,offline_gap/position_value_mse
connect4_fast_baseline_rollout32_seed0_1779036236,connect4_fast_baseline_rollout32_seed0,baseline,0,8000,8000,0.6152712264150944,0.9613134514116456,7575.552693918788,1.028205876928383,27.29908502749016,1.0,1.0,0.543564443196711,0.9544340029220796,1.2987949406910706,1.4979984461187907,0.0,0.0,0.8980547189712524,1.0,0.9736024844720496,0.0770677688387877,0.9006211180124224,0.3001035018143611,8000,0.2421875,0.578125,0.4269458086497122,2.539362144863844,256.0,0.22265625,0.546875,0.4562274379041476,2.632299215227249,256.0,0.19920350542772014,0.01953125,0.03125,0.029281629254435393
connect4_fast_baseline_rollout32_seed1_1779036236,connect4_fast_baseline_rollout32_seed1,baseline,1,8000,8000,0.6037946428571429,0.968687545760653,7654.793701778975,0.9455590464163044,26.269201192732357,1.0,1.0,0.543564443196711,0.9544340029220796,1.2987949406910706,1.4979984461187907,0.0,0.0,0.9595410823822021,1.0,0.9922360248447204,0.0435025165260514,0.968944099378882,0.1740100661042057,8000,0.3125,0.71875,0.4008354931913828,2.1200346126643126,256.0,0.35546875,0.734375,0.3647170228068209,1.9468695469695376,256.0,0.19920350542772014,-0.04296875,-0.015625,-0.036118470384561896
connect4_fast_baseline_rollout32_seed2_1779036236,connect4_fast_baseline_rollout32_seed2,baseline,2,8000,8000,0.4739583333333333,0.9980423339682051,7726.400198442852,0.5724168750563686,18.110759914260484,0.0,0.75,0.9544340029220796,0.543564443196711,1.4056390622252382,1.4979984461187907,0.0,0.0,0.6843470335006714,1.0,0.953416149068323,0.0976480004279536,0.8322981366459627,0.3747670083652057,8000,0.30859375,0.67578125,0.5231426041927103,2.118863775382124,256.0,0.27734375,0.6640625,0.503567481366294,2.1580348725401564,256.0,0.09235938389355258,0.03125,0.01171875,-0.01957512282641627
connect4_fast_noise_c001_seed0_1779036235,connect4_fast_noise_c001_seed0,noise_c001,0,8000,8000,0.5964949324324325,0.9729640376517354,7612.651506439835,1.1632060678574863,21.748838943795576,1.0,1.0,0.0,0.543564443196711,0.543564443196711,0.543564443196711,0.01,8.725051006406687,64.60589599609375,1.0,1.0,0.0,1.0,0.0,8000,0.24609375,0.58984375,0.7206433508395176,2.076655857264996,256.0,0.265625,0.63671875,0.5813190082675586,1.950680124340579,256.0,0.0,-0.01953125,-0.046875,-0.13932434257195903
connect4_fast_noise_c001_seed1_1779036235,connect4_fast_noise_c001_seed1,noise_c001,1,8000,8000,0.5906007751937985,0.9761839306217711,7651.338707619807,1.3585074231279797,21.696385937121626,1.0,1.0,0.0,0.9999999999971146,0.9999999999971146,0.9999999999971146,0.01,8.747193096999636,60.929420471191406,1.0,0.9937888198757764,0.0390343454437704,0.9813664596273292,0.1356488891145534,8000,0.26171875,0.6640625,0.5335522500599647,1.932665853237268,256.0,0.2890625,0.6015625,0.5080402738627127,1.8954730740515515,256.0,0.0,-0.02734375,0.0625,-0.025511976197251984
connect4_fast_noise_c001_seed2_1779036236,connect4_fast_noise_c001_seed2,noise_c001,2,8000,8000,0.7595615671641791,0.7957686179679521,7620.927305560075,1.2105387213940009,20.57089833319878,1.0,1.0,0.0,0.0,0.0,0.0,0.01,8.729792268754208,73.6969985961914,1.0,0.9891304347826086,0.0511418530211292,0.9627329192546584,0.1900065379718542,8000,0.203125,0.53125,0.701669946450121,2.1657766343923868,256.0,0.24609375,0.5390625,0.5668553712908891,2.1293313914793544,256.0,0.0,-0.04296875,-0.0078125,-0.1348145751592319
connect4_fast_noise_c005_seed0_1779036236,connect4_fast_noise_c005_seed0,noise_c005,0,8000,8000,0.6701158940397351,0.9148079205845029,7481.839091940552,1.2457472350166183,23.648921782376995,1.0,1.0,0.0,0.8112781244562475,0.8112781244562475,0.8112781244562475,0.05,19.341456889206345,289.4833984375,1.0,1.0,0.0,1.0,0.0,8000,0.234375,0.6171875,0.9371538708194872,2.2525254559568566,256.0,0.26953125,0.62890625,0.9242452098774891,2.163824975308671,256.0,0.0,-0.03515625,-0.01171875,-0.012908660941998051
connect4_fast_noise_c005_seed1_1779036236,connect4_fast_noise_c005_seed1,noise_c005,1,8000,8000,0.6535050675675675,0.9308987179633664,7594.985531911357,1.3227418769691515,24.9595483029305,1.0,1.0,0.0,0.8112781244562475,0.8112781244562475,0.8112781244562475,0.05,19.487156708857448,314.8318176269531,1.0,0.998447204968944,0.0197027601559775,0.9937888198757764,0.07881104062391,8000,0.234375,0.5703125,0.7701156930637395,2.03566803940339,256.0,0.25390625,0.58984375,0.7637236389827002,1.9236646050485435,256.0,0.0,-0.01953125,-0.01953125,-0.006392054081039267
connect4_fast_noise_c005_seed2_1779036236,connect4_fast_noise_c005_seed2,noise_c005,2,8000,8000,0.6176470588235294,0.9596868937713315,7508.68737557966,1.4522806763366187,18.881664923327598,1.0,1.0,0.0,0.8112781244562475,0.8112781244562475,0.8112781244562475,0.05,19.37612883883112,298.30072021484375,1.0,1.0,0.0,1.0,0.0,8000,0.25390625,0.53125,0.6853998297967099,2.053689114021836,256.0,0.23046875,0.5390625,0.6782151654913933,2.09087641586666,256.0,0.0,0.0234375,-0.0078125,-0.007184664305316613
connect4_fast_noise_c010_seed0_1779036236,connect4_fast_noise_c010_seed0,noise_c010,0,8000,8000,0.6654554263565892,0.9195023149276981,7413.812536944605,1.4291188034913795,24.303743556498297,1.0,1.0,0.0,0.543564443196711,0.543564443196711,0.543564443196711,0.1,27.228317129313382,592.2080078125,1.0,0.998447204968944,0.0197027601559775,0.9937888198757764,0.07881104062391,8000,0.1953125,0.59765625,0.5672721008039261,1.9694629232399168,256.0,0.25,0.578125,0.5342091702721956,1.96483850851655,256.0,0.0,-0.0546875,0.01953125,-0.03306293053173048
