group,n,steps_logged_mean,steps_logged_std,final_step_mean,final_step_std,rollout/p_mean,rollout/p_std,info/H_p_bits_mean,info/H_p_bits_std,info/I_cumulative_bits_mean,info/I_cumulative_bits_std,entropy/action_avg_mean,entropy/action_avg_std,entropy/seq_cumulative_mean,entropy/seq_cumulative_std,train/success_rate_mean,train/success_rate_std,val/success_rate_mean,val/success_rate_std,reward_info/H_correct_bits_mean,reward_info/H_correct_bits_std,reward_info/H_spec_bits_mean,reward_info/H_spec_bits_std,reward_info/H_combined_bits_mean,reward_info/H_combined_bits_std,reward_info/H_sum_components_bits_mean,reward_info/H_sum_components_bits_std,noise/c_mean,noise/c_std,noise/std_mean,noise/std_std,loss/value_mean,loss/value_std,selfplay/shared_params_mean,selfplay/shared_params_std,val/success_rate_mean_mean,val/success_rate_mean_std,val/success_rate_std_mean,val/success_rate_std_std,train/success_rate_mean_mean,train/success_rate_mean_std,train/success_rate_std_mean,train/success_rate_std_std,checkpoint_step_mean,checkpoint_step_std,offline_train/position_policy_acc_mean,offline_train/position_policy_acc_std,offline_train/position_top3_acc_mean,offline_train/position_top3_acc_std,offline_train/position_value_mse_mean,offline_train/position_value_mse_std,offline_train/position_policy_nll_mean,offline_train/position_policy_nll_std,offline_train/position_count_mean,offline_train/position_count_std,offline_val/position_policy_acc_mean,offline_val/position_policy_acc_std,offline_val/position_top3_acc_mean,offline_val/position_top3_acc_std,offline_val/position_value_mse_mean,offline_val/position_value_mse_std,offline_val/position_policy_nll_mean,offline_val/position_policy_nll_std,offline_val/position_count_mean,offline_val/position_count_std,reward_info/H_redundancy_bits_mean,reward_info/H_redundancy_bits_std,offline_gap/position_policy_acc_mean,offline_gap/position_policy_acc_std,offline_gap/position_top3_acc_mean,offline_gap/position_top3_acc_std,offline_gap/position_value_mse_mean,offline_gap/position_value_mse_std
baseline,3,8000.0,0.0,8000.0,0.0,0.5643414008685236,0.07848408861255717,0.9760144437135012,0.019429752408921058,7652.248864713539,75.45594444476627,0.8487272661336854,0.24283368549564505,23.893015378161,5.03398687579034,0.6666666666666666,0.5773502691896258,0.9166666666666666,0.14433756729740646,0.6805209631051672,0.23721565090926455,0.8174774830136234,0.23721565090926455,1.3344096478691263,0.06168648232908073,1.4979984461187907,0.0,0.0,0.0,0.0,0.0,0.8473142782847086,0.14444336390347284,1.0,0.0,0.9730848861283642,0.019415113181688426,0.07273942859759756,0.02733101267197059,0.9006211180124225,0.06832298136645965,0.28296019209459083,0.10147047485651971,8000.0,0.0,0.2877604166666667,0.03951560131638937,0.6575520833333334,0.07206299011469643,0.45030796867793504,0.0644135097728806,2.2594201776367604,0.2424375620158985,256.0,0.0,0.28515625,0.0667500292602932,0.6484375,0.09472152853892297,0.44150398069242086,0.07058645482486817,2.2457345449123145,0.351029745082389,256.0,0.0,0.1635887982496643,0.06168648232908073,0.0026041666666666665,0.03989987876574105,0.009114583333333334,0.023545756927116048,-0.008803987985514258,0.034004503635818056
noise_c001,3,8000.0,0.0,8000.0,0.0,0.6488857582634701,0.09589335889027009,0.9149721954138196,0.1032458792621009,7628.305839873239,20.37171961918777,1.2440840707931555,0.10188043331453002,21.33870773803866,0.6654594586432091,1.0,0.0,1.0,0.0,0.0,0.0,0.5145214810646085,0.5006322205328103,0.5145214810646085,0.5006322205328103,0.5145214810646085,0.5006322205328103,0.01,0.0,8.734012124053512,0.011658620330762827,66.41077168782552,6.57236220787076,1.0,0.0,0.9943064182194616,0.005453236932118418,0.0300587328216332,0.02672626983074325,0.9813664596273292,0.018633540372670787,0.10855180902880253,0.09785862215406783,8000.0,0.0,0.23697916666666666,0.030341615098257925,0.5950520833333334,0.06655925999547947,0.6519551824498678,0.10297785352893538,2.0583661149648838,0.11762671923394279,256.0,0.0,0.2669270833333333,0.021513947450336336,0.5924479166666666,0.04946203102401713,0.5520715511403868,0.03881190838744967,1.9918281966238283,0.1222387051919783,256.0,0.0,0.0,0.0,-0.029947916666666668,0.011933790872280832,0.0026041666666666665,0.05542655378591865,-0.09988363130948097,0.06444720175173221
noise_c005,3,8000.0,0.0,8000.0,0.0,0.6470893401436107,0.026816335245894826,0.9351311774397336,0.022736882888609405,7528.503999810523,59.11897467351032,1.3402565961074628,0.10437475573979065,22.496711669545032,3.1985711969717796,1.0,0.0,1.0,0.0,0.0,0.0,0.8112781244562474,1.3597399555105182e-16,0.8112781244562474,1.3597399555105182e-16,0.8112781244562474,1.3597399555105182e-16,0.05000000000000001,8.498374721940739e-18,19.401580812298306,0.07611150751773112,300.8719787597656,12.868337760941937,1.0,0.0,0.9994824016563147,0.0008965066291764873,0.006567586718659167,0.011375393879832243,0.9979296066252589,0.0035860265167057567,0.02627034687463667,0.04550157551932897,8000.0,0.0,0.24088541666666666,0.011276372445109878,0.5729166666666666,0.04302789490067267,0.7975564645599788,0.12810062938196742,2.1139608697940275,0.12033826567828688,256.0,0.0,0.2513020833333333,0.019661027175184243,0.5859375,0.0450490726354328,0.7887280047838608,0.12490640262610547,2.059455332074625,0.12312479133330526,256.0,0.0,0.0,0.0,-0.010416666666666666,0.030341615098257925,-0.013020833333333334,0.005966895436140416,-0.008828459776117977,0.003555712151938636
noise_c010,3,8000.0,0.0,8000.0,0.0,0.49147546861997987,0.18362687570336444,0.9333173880121279,0.06070812713789649,7437.758609000452,31.409645059334178,1.537951330788717,0.09817432366758835,24.481623215422143,0.6261222026055132,1.0,0.0,1.0,0.0,0.0,0.0,0.7849475225500244,0.22935415807323314,0.7849475225500244,0.22935415807323314,0.7849475225500244,0.22935415807323314,0.10000000000000002,1.6996749443881478e-17,27.27221392571604,0.057556364009640607,645.3335164388021,46.95229160479786,1.0,0.0,0.9979296066252589,0.002371933589521606,0.0178716608115386,0.017030102717712724,0.9958592132505176,0.003586026516705757,0.05254069374927334,0.04550157551932897,8000.0,0.0,0.22786458333333334,0.05979667970419289,0.6184895833333334,0.08399194491078198,0.7258358230184804,0.18945450154481264,1.917621559269416,0.10855539911353489,256.0,0.0,0.2591145833333333,0.009830513587592122,0.6145833333333334,0.05979667970419289,0.641184655979823,0.16944536283217848,1.8974037643444415,0.0730514130003986,256.0,0.0,0.0,0.0,-0.03125,0.062009796353076345,0.00390625,0.034053897996411515,-0.0846511670386572,0.04609682144194662
nonshared,3,8000.0,0.0,8000.0,0.0,0.7093346636866752,0.06375175597952909,0.8602754602445647,0.07469425517238261,6707.008739648051,449.5772514495908,1.0242083887796982,0.22488021535601244,16.24852158156548,3.9499025633284375,1.0,0.0,1.0,0.0,0.0,0.0,0.6328023369498899,0.154564565940939,0.6328023369498899,0.154564565940939,0.6328023369498899,0.154564565940939,0.0,0.0,0.0,0.0,0.9969834884007772,0.2060804341450478,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8000.0,0.0,0.22526041666666666,0.027436598314720676,0.5546875,0.04115489747208101,0.9939234683283577,0.13095379786670783,3.350783648794637,0.29728044765332023,256.0,0.0,0.23697916666666666,0.025113673856752488,0.5546875,0.04878904686248749,1.0670168489154515,0.11930938728126873,3.3388735989567806,0.21996526956490325,256.0,0.0,0.0,0.0,-0.01171875,0.0358013726168425,0.0,0.01790068630842125,0.07309338058709385,0.10256979900181463
