group,n,offline_train/position_policy_acc_mean,offline_train/position_policy_acc_std,offline_train/position_top3_acc_mean,offline_train/position_top3_acc_std,offline_train/position_value_mse_mean,offline_train/position_value_mse_std,offline_val/position_policy_acc_mean,offline_val/position_policy_acc_std,offline_val/position_top3_acc_mean,offline_val/position_top3_acc_std,offline_val/position_value_mse_mean,offline_val/position_value_mse_std
baseline,3,0.2877604166666667,0.03951560131638937,0.6575520833333334,0.07206299011469643,0.45030796867793504,0.0644135097728806,0.28515625,0.0667500292602932,0.6484375,0.09472152853892297,0.44150398069242086,0.07058645482486817
noise_c001,3,0.23697916666666666,0.030341615098257925,0.5950520833333334,0.06655925999547947,0.6519551824498678,0.10297785352893538,0.2669270833333333,0.021513947450336336,0.5924479166666666,0.04946203102401713,0.5520715511403868,0.03881190838744967
noise_c005,3,0.24088541666666666,0.011276372445109878,0.5729166666666666,0.04302789490067267,0.7975564645599788,0.12810062938196742,0.2513020833333333,0.019661027175184243,0.5859375,0.0450490726354328,0.7887280047838608,0.12490640262610547
noise_c010,3,0.22786458333333334,0.05979667970419289,0.6184895833333334,0.08399194491078198,0.7258358230184804,0.18945450154481264,0.2591145833333333,0.009830513587592122,0.6145833333333334,0.05979667970419289,0.641184655979823,0.16944536283217848
nonshared,3,0.22526041666666666,0.027436598314720676,0.5546875,0.04115489747208101,0.9939234683283577,0.13095379786670783,0.23697916666666666,0.025113673856752488,0.5546875,0.04878904686248749,1.0670168489154515,0.11930938728126873
